Target,Option1,Option2,corr_similar,corr_opposite,task_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Target_ns,Option1_ns,Option2_ns,corr_similar_ns,corr_opposite_ns,task_type_ns,corr_resp_ns,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp_3.started,Instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial.started,Fixation.started,textbox.started,key_resp.started,text_2.started,Target_word.started,opt1_text.started,Opt2_text.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,break_2.started,text_5.started,key_resp_4.started,text_5.stopped,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial_2.started,Fixation1.started,text_4.started,textbox_2.started,Target_.started,Option01.started,Option02.started,key_resp_2.started,Fixation1.stopped,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Thankyou.started,textbox_3.started,textbox_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Sharp,Acute,Blunt,Acute,Blunt,opposite,Blunt,29,29,0,left,0,4.244896000018343,None,,,,,,,,,,,,0,29,29,26,,,,,211.92820640001446,,,,,,,,,211.92383870005142,211.92820640001446,211.92820640001446,211.92820640001446,212.4140475000022,212.4140475000022,212.4140475000022,212.4140475000022,212.4216397999553,216.18157949997112,left,0,4.244896000018343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Cold,Frigid,Hot,Frigid,Hot,similar,Frigid,30,30,0,left,0,2.6125678999815136,None,,,,,,,,,,,,0,30,30,17,,,,,216.20038189995103,,,,,,,,,216.19592269998975,216.20038189995103,216.20038189995103,216.20038189995103,216.68011449999176,216.68011449999176,216.68011449999176,216.68011449999176,216.69689260004088,218.8188670000527,left,0,2.6125678999815136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Hard,Arduous,Soft,Arduous,Soft,opposite,Soft,31,31,0,right,0,2.4223122999537736,None,,,,,,,,,,,,0,31,31,5,,,,,218.83346700004768,,,,,,,,,218.8297267999733,218.83346700004768,218.83346700004768,218.83346700004768,219.31795639998745,219.31795639998745,219.31795639998745,219.31795639998745,219.325579599943,221.26466910005547,right,0,2.4223122999537736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Clean,Immaculate,Dirty,Immaculate,Dirty,opposite,Dirty,32,32,0,right,0,2.487358700018376,None,,,,,,,,,,,,0,32,32,21,,,,,221.2815610000398,,,,,,,,,221.2761840999592,221.2815610000398,221.2815610000398,221.2815610000398,221.76296099997126,221.76296099997126,221.76296099997126,221.76296099997126,221.77979689999484,223.7764906999655,right,0,2.487358700018376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Large,Massive,Tiny,Massive,Tiny,similar,Massive,33,33,0,left,0,5.723315300070681,None,,,,,,,,,,,,0,33,33,11,,,,,223.79525480000302,,,,,,,,,223.79077429999597,223.79525480000302,223.79525480000302,223.79525480000302,224.27524670003913,224.27524670003913,224.27524670003913,224.27524670003913,224.29197220003698,229.52484580001328,left,0,5.723315300070681,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Shortage,Deficit,Surplus,Deficit,Surplus,similar,Deficit,34,34,0,left,0,9.99535179999657,None,,,,,,,,,,,,0,34,34,43,,,,,229.54381719999947,,,,,,,,,229.53704319999088,229.54381719999947,229.54381719999947,229.54381719999947,230.02321819995996,230.02321819995996,230.02321819995996,230.02321819995996,230.04014729999471,239.54018160002306,left,0,9.99535179999657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Bitter,Acrid,Sweet,Acrid,Sweet,similar,Acrid,35,35,0,left,0,5.063174600014463,None,,,,,,,,,,,,0,35,35,30,,,,,239.5534366000211,,,,,,,,,239.54873439995572,239.5534366000211,239.5534366000211,239.5534366000211,240.0385888000019,240.0385888000019,240.0385888000019,240.0385888000019,240.0470799000468,244.6228426999878,left,0,5.063174600014463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Angry,Irate,Calm,Irate,Calm,opposite,Calm,36,36,0,right,0,4.312061000033282,None,,,,,,,,,,,,0,36,36,0,,,,,244.64099969994277,,,,,,,,,244.63589999999385,244.64099969994277,244.64099969994277,244.64099969994277,245.114059500047,245.114059500047,245.114059500047,245.114059500047,245.13839330000337,248.9572368999943,right,0,4.312061000033282,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Hope,Optimism,Despair,Optimism,Despair,similar,Optimism,37,37,0,left,0,13.115299600060098,None,,,,,,,,,,,,0,37,37,46,,,,,248.9784216999542,,,,,,,,,248.97131050005555,248.9784216999542,248.9784216999542,248.9784216999542,249.45571090001613,249.45571090001613,249.45571090001613,249.45571090001613,249.4719981000526,262.0997894000029,left,0,13.115299600060098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
Weak,Feeble,Strong,Feeble,Strong,opposite,Strong,38,38,0,right,0,2.378773899981752,None,,,,,,,,,,,,0,38,38,20,,,,,262.11189099994954,,,,,,,,,262.10844550002366,262.11189099994954,262.11189099994954,262.11189099994954,262.59034170000814,262.59034170000814,262.59034170000814,262.59034170000814,262.6070426000515,264.49567890004255,right,0,2.378773899981752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P4,001,2025-11-24_16h58.26.605,Solo Project,,2025.1.1,120.38127166395898,2025-11-24 16h58.34.280851 +0530,
