thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
98,0,98,[np.float64(-0.4849537037037037)],[np.float64(0.2569444444444444)],[1],[0],[0],[1.3760935000609607],['Target'],98,0,98,0,244.36965030012652,,10,244.3580077001825,244.36965030012652,244.36965030012652,0.036052800016477704,245.73417280009016,[np.float64(-0.4849537037037037)],[np.float64(0.2569444444444444)],[1],[0],[0],[1.3760935000609607],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
99,0,99,[np.float64(0.24537037037037038)],[np.float64(0.16435185185185186)],[1],[0],[0],[1.4292522000614554],['Target'],99,0,99,0,245.76092550018802,,10,245.75264740013517,245.76092550018802,245.76092550018802,0.01831419998779893,247.18199160019867,[np.float64(0.24537037037037038)],[np.float64(0.16435185185185186)],[1],[0],[0],[1.4292522000614554],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
100,0,100,[np.float64(-0.20601851851851852)],[np.float64(0.003472222222222222)],[1],[0],[0],[2.701866500079632],['Target'],100,0,100,0,247.22906860010698,,10,247.2167656000238,247.22906860010698,247.22906860010698,0.03460759995505214,249.91866490012035,[np.float64(-0.20601851851851852)],[np.float64(0.003472222222222222)],[1],[0],[0],[2.701866500079632],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
101,0,101,[np.float64(0.09837962962962964)],[np.float64(0.07060185185185185)],[1],[0],[0],[2.1762315998785198],['Target'],101,0,101,0,249.9461689000018,,5,249.93984630005434,249.9461689000018,249.9461689000018,0.02108480012975633,252.11617669998668,[np.float64(0.09837962962962964)],[np.float64(0.07060185185185185)],[1],[0],[0],[2.1762315998785198],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
102,0,102,[np.float64(0.06712962962962964)],[np.float64(-0.3738425925925926)],[1],[0],[0],[2.4629969999659806],['Target'],102,0,102,0,252.13793980004266,,5,252.13203640002757,252.13793980004266,252.13793980004266,0.015662800054997206,254.59514570003375,[np.float64(0.06712962962962964)],[np.float64(-0.3738425925925926)],[1],[0],[0],[2.4629969999659806],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
103,0,103,[np.float64(0.061342592592592594)],[np.float64(0.10648148148148148)],[1],[0],[0],[1.3266163000371307],['Target'],103,0,103,0,254.63336290000007,,10,254.62497590016574,254.63336290000007,254.63336290000007,0.02963070012629032,255.95171040017158,[np.float64(0.061342592592592594)],[np.float64(0.10648148148148148)],[1],[0],[0],[1.3266163000371307],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
104,0,104,[np.float64(0.22685185185185186)],[np.float64(0.3125)],[1],[0],[0],[1.283983000088483],['Target'],104,0,104,0,255.97814590018243,,5,255.97165650012903,255.97814590018243,255.97814590018243,0.019730799831449986,257.25572030013427,[np.float64(0.22685185185185186)],[np.float64(0.3125)],[1],[0],[0],[1.283983000088483],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
105,0,105,[np.float64(0.17708333333333334)],[np.float64(0.19907407407407407)],[1],[0],[0],[2.29058160004206],['Target'],105,0,105,0,257.2767736001406,,5,257.2692289000843,257.2767736001406,257.2767736001406,0.01337020006030798,259.55993640003726,[np.float64(0.17708333333333334)],[np.float64(0.19907407407407407)],[1],[0],[0],[2.29058160004206],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
106,0,106,[np.float64(-0.020833333333333332)],[np.float64(0.21180555555555555)],[1],[0],[0],[1.229237699881196],['Target'],106,0,106,0,259.5872462000698,,5,259.5796908000484,259.5872462000698,259.5872462000698,0.0195528999902308,260.8091345001012,[np.float64(-0.020833333333333332)],[np.float64(0.21180555555555555)],[1],[0],[0],[1.229237699881196],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
107,0,107,[np.float64(0.16898148148148148)],[np.float64(0.3263888888888889)],[1],[0],[0],[1.2080228000413626],['Target'],107,0,107,0,260.8407551001292,,10,260.8315247001592,260.8407551001292,260.8407551001292,0.022152000106871128,262.0396669001784,[np.float64(0.16898148148148148)],[np.float64(0.3263888888888889)],[1],[0],[0],[1.2080228000413626],['Target'],076066,001,2025-09-30_19h20.47.043,Visual search,,2025.1.1,119.34897530969072,2025-09-30 19h20.48.164471 +0530,
