Target,Option1,Option2,corr_similar,corr_opposite,task_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Target_ns,Option1_ns,Option2_ns,corr_similar_ns,corr_opposite_ns,task_type_ns,corr_resp_ns,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp_3.started,Instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial.started,Fixation.started,textbox.started,key_resp.started,text_2.started,Target_word.started,opt1_text.started,Opt2_text.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,break_2.started,text_5.started,key_resp_4.started,text_5.stopped,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial_2.started,Fixation1.started,text_4.started,textbox_2.started,Target_.started,Option01.started,Option02.started,key_resp_2.started,Fixation1.stopped,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Thankyou.started,textbox_3.started,textbox_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Old,Ancient,Modern,Ancient,Modern,similar,Ancient,19,19,0,left,0,4.0723412,None,,,,,,,,,,,,0,19,19,6,,,,,172.5813684,,,,,,,,,172.5751411,172.5813684,172.5813684,172.5813684,173.0611658,173.0611658,173.0611658,173.0611658,173.0778216,176.655079,left,0,4.0723412,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Kind,Benevolent,Cruel,Benevolent,Cruel,similar,Benevolent,20,20,0,left,0,4.9523506,None,,,,,,,,,,,,0,20,20,19,,,,,176.673414,,,,,,,,,176.6684661,176.673414,176.673414,176.673414,177.14541,177.14541,177.14541,177.14541,177.1704963,181.6299927,left,0,4.9523506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Silent,Muted,Noisy,Muted,Noisy,similar,Muted,21,21,0,right,0,4.962898,None,,,,,,,,,,,,0,21,21,14,,,,,181.646815,,,,,,,,,181.6411468,181.646815,181.646815,181.646815,182.1292808,182.1292808,182.1292808,182.1292808,182.1368626,186.6127606,right,0,4.962898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Weak,Feeble,Strong,Feeble,Strong,opposite,Strong,22,22,0,right,0,5.8882172,None,,,,,,,,,,,,0,22,22,20,,,,,186.6320725,,,,,,,,,186.6261662,186.6320725,186.6320725,186.6320725,187.1111893,187.1111893,187.1111893,187.1111893,187.1282662,192.526984,right,0,5.8882172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Deep,Profound,Shallow,Profound,Shallow,opposite,Shallow,23,23,0,right,0,7.1353849,None,,,,,,,,,,,,0,23,23,22,,,,,192.5418593,,,,,,,,,192.5370624,192.5418593,192.5418593,192.5418593,193.0255625,193.0255625,193.0255625,193.0255625,193.0338253,199.6820524,right,0,7.1353849,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Slow,Leisurely,Rapid,Leisurely,Rapid,similar,Leisurely,24,24,0,left,0,8.6747825,None,,,,,,,,,,,,0,24,24,23,,,,,199.7014799,,,,,,,,,199.6969557,199.7014799,199.7014799,199.7014799,200.1795557,200.1795557,200.1795557,200.1795557,200.1965837,208.3824321,left,0,8.6747825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Honest,Sincere,Deceitful,Sincere,Deceitful,opposite,Deceitful,25,25,0,left,0,8.4090174,None,,,,,,,,,,,,0,25,25,3,,,,,208.3995739,,,,,,,,,208.3948338,208.3995739,208.3995739,208.3995739,208.8811775,208.8811775,208.8811775,208.8811775,208.8978358,216.8177917,left,0,8.4090174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Calm,Serene,Agitated,Serene,Agitated,opposite,Agitated,26,26,0,right,0,9.2263705,None,,,,,,,,,,,,0,26,26,4,,,,,216.8342583,,,,,,,,,216.8294962,216.8342583,216.8342583,216.8342583,217.3161328,217.3161328,217.3161328,217.3161328,217.3330701,226.0687028,right,0,9.2263705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Curious,Inquisitive,Indifferent,Inquisitive,Indifferent,similar,Inquisitive,27,27,0,left,0,4.1344908,None,,,,,,,,,,,,0,27,27,49,,,,,226.0927395,,,,,,,,,226.0870705,226.0927395,226.0927395,226.0927395,226.565942,226.565942,226.565942,226.565942,226.591231,230.2349874,left,0,4.1344908,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
Lonely,Isolated,Sociable,Isolated,Sociable,opposite,Sociable,28,28,0,right,0,4.0554666,None,,,,,,,,,,,,0,28,28,10,,,,,230.2528492,,,,,,,,,230.247745,230.2528492,230.2528492,230.2528492,230.725732,230.725732,230.725732,230.725732,230.7506691,234.310702,right,0,4.0554666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-24_16h44.27.564,Solo Project,,2025.1.1,120.1648662,2025-11-24 16h44.38.744596 +0530
