Target,Option1,Option2,corr_similar,corr_opposite,task_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Target_ns,Option1_ns,Option2_ns,corr_similar_ns,corr_opposite_ns,task_type_ns,corr_resp_ns,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruction.started,text.started,key_resp_3.started,Instruction.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trial.started,Fixation.started,textbox.started,key_resp.started,text_2.started,Target_word.started,opt1_text.started,Opt2_text.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,break_2.started,text_5.started,key_resp_4.started,text_5.stopped,break_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial_2.started,Fixation1.started,text_4.started,textbox_2.started,Target_.started,Option01.started,Option02.started,key_resp_2.started,Fixation1.stopped,trial_2.stopped,trials_2.key_resp_2.keys,trials_2.key_resp_2.corr,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,Thankyou.started,textbox_3.started,textbox_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
Safe,Secure,Perilous,Secure,Perilous,similar,Secure,19,19,0,left,0,6.4920571,None,,,,,,,,,,,,0,19,19,34,,,,,123.6533482,,,,,,,,,123.6491932,123.6533482,123.6533482,123.6533482,124.1393423,124.1393423,124.1393423,124.1393423,124.1455664,130.1490336,left,0,6.4920571,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Fear,Dread,Courage,Dread,Courage,similar,Dread,20,20,0,left,0,7.3946337,None,,,,,,,,,,,,0,20,20,44,,,,,130.165769,,,,,,,,,130.16097,130.165769,130.165769,130.165769,130.6515767,130.6515767,130.6515767,130.6515767,130.6572731,137.5693851,left,0,7.3946337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Light,Radiant,Dark,Radiant,Dark,opposite,Dark,21,21,0,right,0,2.6192838,None,,,,,,,,,,,,0,21,21,37,,,,,137.5911635,,,,,,,,,137.585222,137.5911635,137.5911635,137.5911635,138.0738399,138.0738399,138.0738399,138.0738399,138.0811377,140.2146126,right,0,2.6192838,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Angry,Irate,Calm,Irate,Calm,opposite,Calm,22,22,0,right,0,4.1472801,None,,,,,,,,,,,,0,22,22,0,,,,,140.2331345,,,,,,,,,140.2279566,140.2331345,140.2331345,140.2331345,140.7169194,140.7169194,140.7169194,140.7169194,140.7235787,144.3824231,right,0,4.1472801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Predict,Foresee,Overlook,Foresee,Overlook,opposite,Overlook,23,23,0,right,0,5.1415474,None,,,,,,,,,,,,0,23,23,48,,,,,144.4092647,,,,,,,,,144.401964,144.4092647,144.4092647,144.4092647,144.87879,144.87879,144.87879,144.87879,144.8984484,149.5579082,right,0,5.1415474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Cold,Frigid,Hot,Frigid,Hot,similar,Frigid,24,24,0,right,0,2.2048126,None,,,,,,,,,,,,0,24,24,17,,,,,149.5754623,,,,,,,,,149.5714551,149.5754623,149.5754623,149.5754623,150.0626706,150.0626706,150.0626706,150.0626706,150.0698449,151.785619,right,0,2.2048126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Tall,Towering,Short,Towering,Short,similar,Towering,25,25,0,right,0,6.8210574,None,,,,,,,,,,,,0,25,25,42,,,,,151.8034218,,,,,,,,,151.7971627,151.8034218,151.8034218,151.8034218,152.2870041,152.2870041,152.2870041,152.2870041,152.2925336,158.6326733,right,0,6.8210574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Lonely,Isolated,Sociable,Isolated,Sociable,opposite,Sociable,26,26,0,right,0,4.1682857,None,,,,,,,,,,,,0,26,26,10,,,,,158.6541139,,,,,,,,,158.6496983,158.6541139,158.6541139,158.6541139,159.1350184,159.1350184,159.1350184,159.1350184,159.1475646,162.8245257,right,0,4.1682857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Wide,Expansive,Narrow,Expansive,Narrow,similar,Expansive,27,27,0,left,0,7.6574507,None,,,,,,,,,,,,0,27,27,27,,,,,162.8506166,,,,,,,,,162.8453064,162.8506166,162.8506166,162.8506166,163.3278875,163.3278875,163.3278875,163.3278875,163.3400211,170.5106603,left,0,7.6574507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
Hard,Arduous,Soft,Arduous,Soft,opposite,Soft,28,28,0,right,0,2.4660107,None,,,,,,,,,,,,0,28,28,5,,,,,170.53358,,,,,,,,,170.5252845,170.53358,170.53358,170.53358,171.0149598,171.0149598,171.0149598,171.0149598,171.0273244,173.0061811,right,0,2.4660107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,1,2025-11-24_20h03.50.508,Solo Project,,2025.1.1,120.3218851,2025-11-24 20h04.03.766474 +0530
